"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","track_names","who"
"20",0.73,0.515,11,-8.632,1,0.139,0.23,0.149,0.134,0.361,77.599,"audio_features","5wMfLe1nd26X7EQszhZjly","spotify:track:5wMfLe1nd26X7EQszhZjly","https://api.spotify.com/v1/tracks/5wMfLe1nd26X7EQszhZjly","https://api.spotify.com/v1/audio-analysis/5wMfLe1nd26X7EQszhZjly",204124,4,"Tucson","Annie"
"21",0.693,0.367,3,-11.66,1,0.0323,0.351,2.9e-05,0.111,0.286,129.879,"audio_features","0c7iF5fSBYxCuwsAv2z4iI","spotify:track:0c7iF5fSBYxCuwsAv2z4iI","https://api.spotify.com/v1/tracks/0c7iF5fSBYxCuwsAv2z4iI","https://api.spotify.com/v1/audio-analysis/0c7iF5fSBYxCuwsAv2z4iI",274632,4,"Green Mountain State","Annie"
"22",0.629,0.696,1,-5.572,0,0.348,0.0195,0,0.0554,0.623,93.034,"audio_features","1PS1QMdUqOal0ai3Gt7sDQ","spotify:track:1PS1QMdUqOal0ai3Gt7sDQ","https://api.spotify.com/v1/tracks/1PS1QMdUqOal0ai3Gt7sDQ","https://api.spotify.com/v1/audio-analysis/1PS1QMdUqOal0ai3Gt7sDQ",207627,4,"Gold Digger","Annie"
"23",0.796,0.522,7,-4.977,0,0.0542,0.241,0,0.164,0.379,125.011,"audio_features","6Cu73hlNbhejRe966kx5bi","spotify:track:6Cu73hlNbhejRe966kx5bi","https://api.spotify.com/v1/tracks/6Cu73hlNbhejRe966kx5bi","https://api.spotify.com/v1/audio-analysis/6Cu73hlNbhejRe966kx5bi",190114,4,"Pretty Girl","Annie"
"24",0.272,0.238,2,-12.148,0,0.0349,0.89,0.00925,0.275,0.119,83.507,"audio_features","01z2fBGB8Hl3Jd3zXe4IXR","spotify:track:01z2fBGB8Hl3Jd3zXe4IXR","https://api.spotify.com/v1/tracks/01z2fBGB8Hl3Jd3zXe4IXR","https://api.spotify.com/v1/audio-analysis/01z2fBGB8Hl3Jd3zXe4IXR",161840,4,"Come Back to Earth","Annie"
"25",0.69,0.462,8,-8.054,1,0.13,0.343,0.00218,0.113,0.325,157.655,"audio_features","5p7GiBZNL1afJJDUrOA6C8","spotify:track:5p7GiBZNL1afJJDUrOA6C8","https://api.spotify.com/v1/tracks/5p7GiBZNL1afJJDUrOA6C8","https://api.spotify.com/v1/audio-analysis/5p7GiBZNL1afJJDUrOA6C8",245640,4,"Hurt Feelings","Annie"
"26",0.759,0.492,1,-10.338,0,0.12,0.736,0.00989,0.107,0.561,104.974,"audio_features","2dgrYdgguVZKeCsrVb9XEs","spotify:track:2dgrYdgguVZKeCsrVb9XEs","https://api.spotify.com/v1/tracks/2dgrYdgguVZKeCsrVb9XEs","https://api.spotify.com/v1/audio-analysis/2dgrYdgguVZKeCsrVb9XEs",288640,4,"What's the Use?","Annie"
"27",0.599,0.317,1,-11.212,1,0.174,0.748,0,0.111,0.203,148.09,"audio_features","0Xcy81PsJCOO6mhLZaQyQ4","spotify:track:0Xcy81PsJCOO6mhLZaQyQ4","https://api.spotify.com/v1/tracks/0Xcy81PsJCOO6mhLZaQyQ4","https://api.spotify.com/v1/audio-analysis/0Xcy81PsJCOO6mhLZaQyQ4",215413,4,"Perfecto","Annie"
"28",0.52,0.538,1,-8.109,1,0.206,0.367,0.00187,0.119,0.177,141.894,"audio_features","5bJ1DrEM4hNCafcDd1oxHx","spotify:track:5bJ1DrEM4hNCafcDd1oxHx","https://api.spotify.com/v1/tracks/5bJ1DrEM4hNCafcDd1oxHx","https://api.spotify.com/v1/audio-analysis/5bJ1DrEM4hNCafcDd1oxHx",345133,4,"Self Care","Annie"
"29",0.656,0.33,8,-8.771,1,0.162,0.818,0.00386,0.107,0.349,119.057,"audio_features","16umSNZfofRpDqTvf8DIAo","spotify:track:16umSNZfofRpDqTvf8DIAo","https://api.spotify.com/v1/tracks/16umSNZfofRpDqTvf8DIAo","https://api.spotify.com/v1/audio-analysis/16umSNZfofRpDqTvf8DIAo",250120,4,"Wings","Annie"
"30",0.802,0.463,8,-8.379,1,0.162,0.236,0.00531,0.105,0.291,103.961,"audio_features","39NDBdU5Xkm5pCFGa5kZtI","spotify:track:39NDBdU5Xkm5pCFGa5kZtI","https://api.spotify.com/v1/tracks/39NDBdU5Xkm5pCFGa5kZtI","https://api.spotify.com/v1/audio-analysis/39NDBdU5Xkm5pCFGa5kZtI",287040,4,"Ladders","Annie"
"31",0.516,0.546,5,-9.105,1,0.249,0.814,4.5e-06,0.0995,0.515,78.267,"audio_features","4gT3mNJA8lnlkYFqGZ8IA2","spotify:track:4gT3mNJA8lnlkYFqGZ8IA2","https://api.spotify.com/v1/tracks/4gT3mNJA8lnlkYFqGZ8IA2","https://api.spotify.com/v1/audio-analysis/4gT3mNJA8lnlkYFqGZ8IA2",271733,4,"Small Worlds","Annie"
"32",0.787,0.472,6,-10.032,0,0.113,0.64,5.22e-05,0.11,0.264,144.998,"audio_features","1oFEAWvPHP5TdSlmIs77sV","spotify:track:1oFEAWvPHP5TdSlmIs77sV","https://api.spotify.com/v1/tracks/1oFEAWvPHP5TdSlmIs77sV","https://api.spotify.com/v1/audio-analysis/1oFEAWvPHP5TdSlmIs77sV",210253,4,"Conversation Pt. 1","Annie"
"33",0.622,0.229,1,-11.322,1,0.0445,0.768,0.00906,0.134,0.0998,81.87,"audio_features","3YnwIp2b99p3e5dsFTXIIx","spotify:track:3YnwIp2b99p3e5dsFTXIIx","https://api.spotify.com/v1/tracks/3YnwIp2b99p3e5dsFTXIIx","https://api.spotify.com/v1/audio-analysis/3YnwIp2b99p3e5dsFTXIIx",237093,4,"Dunno","Annie"
"34",0.791,0.557,7,-9.622,0,0.0698,0.54,0,0.103,0.284,119.973,"audio_features","2JmFRXaJrkAUD2cs6U20KG","spotify:track:2JmFRXaJrkAUD2cs6U20KG","https://api.spotify.com/v1/tracks/2JmFRXaJrkAUD2cs6U20KG","https://api.spotify.com/v1/audio-analysis/2JmFRXaJrkAUD2cs6U20KG",345213,4,"Jet Fuel","Annie"
"35",0.533,0.496,6,-9.363,0,0.517,0.77,0.000164,0.0969,0.173,155.158,"audio_features","6dFn6my1sHK2bcf23GlHwM","spotify:track:6dFn6my1sHK2bcf23GlHwM","https://api.spotify.com/v1/tracks/6dFn6my1sHK2bcf23GlHwM","https://api.spotify.com/v1/audio-analysis/6dFn6my1sHK2bcf23GlHwM",347987,4,"2009","Annie"
"36",0.576,0.556,0,-6.474,1,0.231,0.812,0.125,0.0943,0.294,148.173,"audio_features","0EA2RhRHL4KWeNa7JfD1Yw","spotify:track:0EA2RhRHL4KWeNa7JfD1Yw","https://api.spotify.com/v1/tracks/0EA2RhRHL4KWeNa7JfD1Yw","https://api.spotify.com/v1/audio-analysis/0EA2RhRHL4KWeNa7JfD1Yw",312960,4,"So It Goes","Annie"
"37",0.552,0.391,4,-9.487,1,0.401,0.103,0,0.173,0.362,87.993,"audio_features","75w3hkYlT7dH1IWXMqBdq9","spotify:track:75w3hkYlT7dH1IWXMqBdq9","https://api.spotify.com/v1/tracks/75w3hkYlT7dH1IWXMqBdq9","https://api.spotify.com/v1/audio-analysis/75w3hkYlT7dH1IWXMqBdq9",274769,4,"Penelope","Annie"
"38",0.792,0.555,0,-7.038,1,0.34,0.0394,6.39e-06,0.107,0.084,99.954,"audio_features","5H0NU2sHWUnWCcZyYlX46X","spotify:track:5H0NU2sHWUnWCcZyYlX46X","https://api.spotify.com/v1/tracks/5H0NU2sHWUnWCcZyYlX46X","https://api.spotify.com/v1/audio-analysis/5H0NU2sHWUnWCcZyYlX46X",273600,4,"65th & Ingleside","Annie"
