"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","track_names","who","...1","outcome"
"109",0.527,0.551,7,-11.258,1,0.0345,0.384,2.75e-06,0.403,0.443,148.035,"audio_features","3Pbp7cUCx4d3OAkZSCoNvn","spotify:track:3Pbp7cUCx4d3OAkZSCoNvn","https://api.spotify.com/v1/tracks/3Pbp7cUCx4d3OAkZSCoNvn","https://api.spotify.com/v1/audio-analysis/3Pbp7cUCx4d3OAkZSCoNvn",159636,4,"Scared To Start","Annie",9,0
"110",0.625,0.568,11,-5.663,1,0.0324,0.288,0,0.674,0.348,85.545,"audio_features","3LNRi4UytUnez6T0hFb4x3","spotify:track:3LNRi4UytUnez6T0hFb4x3","https://api.spotify.com/v1/tracks/3LNRi4UytUnez6T0hFb4x3","https://api.spotify.com/v1/audio-analysis/3LNRi4UytUnez6T0hFb4x3",179427,3,"You","Annie",10,0
"111",0.665,0.741,0,-3.694,1,0.0787,0.154,3.02e-05,0.345,0.57,144.968,"audio_features","1YscJ7yVTlFxW3eF6pv5ba","spotify:track:1YscJ7yVTlFxW3eF6pv5ba","https://api.spotify.com/v1/tracks/1YscJ7yVTlFxW3eF6pv5ba","https://api.spotify.com/v1/audio-analysis/1YscJ7yVTlFxW3eF6pv5ba",156893,4,"Allergic","Annie",11,0
"112",0.889,0.646,7,-6.366,1,0.0668,0.195,3.19e-05,0.0502,0.966,110.842,"audio_features","0mLAgHQP1BOkoHhDu622BQ","spotify:track:0mLAgHQP1BOkoHhDu622BQ","https://api.spotify.com/v1/tracks/0mLAgHQP1BOkoHhDu622BQ","https://api.spotify.com/v1/audio-analysis/0mLAgHQP1BOkoHhDu622BQ",213427,4,"Get Down On It","Annie",12,0
"113",0.733,0.67,5,-6.009,1,0.0751,0.121,0,0.121,0.472,100.964,"audio_features","0O6u0VJ46W86TxN9wgyqDj","spotify:track:0O6u0VJ46W86TxN9wgyqDj","https://api.spotify.com/v1/tracks/0O6u0VJ46W86TxN9wgyqDj","https://api.spotify.com/v1/audio-analysis/0O6u0VJ46W86TxN9wgyqDj",192841,4,"I Like You (A Happier Song) (with Doja Cat)","Annie",13,0
"114",0.711,0.576,7,-8.784,0,0.0305,0.648,0.00226,0.0528,0.644,120.117,"audio_features","1BWsOxeMx83OrKGCV4gxly","spotify:track:1BWsOxeMx83OrKGCV4gxly","https://api.spotify.com/v1/tracks/1BWsOxeMx83OrKGCV4gxly","https://api.spotify.com/v1/audio-analysis/1BWsOxeMx83OrKGCV4gxly",178560,4,"I Feel the Earth Move","Annie",14,0
"115",0.817,0.405,10,-13.513,0,0.0811,0.451,0.0507,0.0468,0.898,121.467,"audio_features","7MiLmLbwNoyf47xQ4TCVYp","spotify:track:7MiLmLbwNoyf47xQ4TCVYp","https://api.spotify.com/v1/tracks/7MiLmLbwNoyf47xQ4TCVYp","https://api.spotify.com/v1/audio-analysis/7MiLmLbwNoyf47xQ4TCVYp",419640,4,"Papa Was A Rollin' Stone - Single Version","Annie",15,0
"116",0.611,0.767,7,-5.511,1,0.215,0.153,0,0.114,0.381,90.064,"audio_features","78EBZOZppjic7aild1Bc8i","spotify:track:78EBZOZppjic7aild1Bc8i","https://api.spotify.com/v1/tracks/78EBZOZppjic7aild1Bc8i","https://api.spotify.com/v1/audio-analysis/78EBZOZppjic7aild1Bc8i",244333,4,"Wonderful","Annie",16,0
"117",0.686,0.855,11,-6.6,1,0.116,0.0252,0,0.037,0.763,176.002,"audio_features","1mVTQSGoFchL3VVrIa0MeH","spotify:track:1mVTQSGoFchL3VVrIa0MeH","https://api.spotify.com/v1/tracks/1mVTQSGoFchL3VVrIa0MeH","https://api.spotify.com/v1/audio-analysis/1mVTQSGoFchL3VVrIa0MeH",224933,4,"Millionaire (feat. André 3000)","Annie",17,0
"118",0.814,0.639,0,-10.481,1,0.0409,0.107,0.0438,0.118,0.98,135.253,"audio_features","6hFek9A3Xz4g1vgSYJBnzV","spotify:track:6hFek9A3Xz4g1vgSYJBnzV","https://api.spotify.com/v1/tracks/6hFek9A3Xz4g1vgSYJBnzV","https://api.spotify.com/v1/audio-analysis/6hFek9A3Xz4g1vgSYJBnzV",218268,4,"Feliz, Feliz","Annie",18,0
